"Variable","Q1","Q3","IQR","Lower_Fence","Upper_Fence","Outlier_Count","Outlier_Pct"
"GDP_growth",2,7.04,5.04,-5.56,14.6,50,8.5
"CO2_per_capita",1.07,8.41,7.34,-9.95,19.42,57,9.7
"CO2_total_tons",10138707.75,143207765.25,133069057.5,-189464878.5,342811351.5,79,13.4
"Population",3755417.75,50374843.5,46619425.75,-66173720.88,120303982.12,70,11.9
"Urban_Pop_Pct",32.27,78.73,46.45,-37.4,148.4,0,0
"Fertility_Rate",1.9,4.07,2.17,-1.36,7.33,15,2.6
"Median_Age",19,29.6,10.6,3.1,45.5,8,1.4
"Density",48,311,263,-346.5,705.5,67,11.4
"Energy_Per_Capita_kWh",4068.27,36382.74,32314.47,-44403.43,84854.44,78,13.3
