"CO2_per_capita","GDP_growth","Urban_Pop_Pct","Fertility_Rate","Median_Age","Density","Energy_Per_Capita_kWh","Population","CO2_total_tons"
1,-0.044,0.47,0.009,0.164,-0.044,0.723,-0.11,-0.004
-0.044,1,-0.136,0.115,-0.139,-0.079,-0.069,0.092,0.039
0.47,-0.136,1,-0.415,0.532,0.345,0.642,-0.19,0.015
0.009,0.115,-0.415,1,-0.801,-0.279,-0.213,-0.104,-0.18
0.164,-0.139,0.532,-0.801,1,0.293,0.329,0.084,0.247
-0.044,-0.079,0.345,-0.279,0.293,1,0.083,-0.066,-0.049
0.723,-0.069,0.642,-0.213,0.329,0.083,1,-0.144,-0.017
-0.11,0.092,-0.19,-0.104,0.084,-0.066,-0.144,1,0.756
-0.004,0.039,0.015,-0.18,0.247,-0.049,-0.017,0.756,1
